case_ref_number,month,dpd,principal_outstanding,bucket,total_due,resolution_status
CR_001_RAJESH,2025-05,0,201260,Norm,9583,Norm
CR_001_RAJESH,2025-06,0,203655,Norm,9583,Norm
CR_001_RAJESH,2025-07,5,206050,X1,9583,Stab
CR_001_RAJESH,2025-08,5,208445,X1,9583,Stab
CR_001_RAJESH,2025-09,0,210840,Norm,9583,Rollback
CR_001_RAJESH,2025-10,5,213235,X1,9583,Stab
CR_001_RAJESH,2025-11,0,215630,Norm,9583,Rollback
CR_001_RAJESH,2025-12,0,218025,Norm,9583,Norm
CR_001_RAJESH,2026-01,5,220420,X1,9583,Stab
CR_001_RAJESH,2026-01,0,222815,Norm,9583,Rollback
CR_001_RAJESH,2026-03,0,225210,Norm,9583,Norm
CR_001_RAJESH,2026-04,0,227605,Norm,9583,Norm
CR_002_PRIYA,2026-01,0,301392,Norm,8611,Norm
CR_002_PRIYA,2026-01,30,303544,X1,8611,Rollforward
CR_002_PRIYA,2026-03,0,305696,Norm,8611,Rollback
CR_002_PRIYA,2026-04,0,307848,Norm,8611,Norm
CR_003_AMIT,2026-01,0,115000,Norm,5000,Norm
CR_003_AMIT,2026-01,0,116250,Norm,5000,Norm
CR_003_AMIT,2026-03,5,117500,X1,5000,Stab
CR_003_AMIT,2026-04,5,118750,X1,5000,Stab
CR_004_SUNITA,2023-11,290,158150,B3,9583,Rollforward
CR_004_SUNITA,2023-12,280,160545,B3,9583,Rollback
CR_004_SUNITA,2024-01,265,162940,B3,9583,Rollback
CR_004_SUNITA,2024-02,250,165335,B3,9583,Rollback
CR_004_SUNITA,2024-03,255,167730,B3,9583,Stab
CR_004_SUNITA,2024-04,235,170125,B3,9583,Rollback
CR_004_SUNITA,2024-05,220,172520,B3,9583,Rollback
CR_004_SUNITA,2024-06,220,174915,B3,9583,Stab
CR_004_SUNITA,2024-07,200,177310,B3,9583,Rollback
CR_004_SUNITA,2024-08,185,179705,B3,9583,Rollback
CR_004_SUNITA,2024-09,165,182100,B2,9583,Rollback
CR_004_SUNITA,2024-10,165,184495,B2,9583,Stab
CR_004_SUNITA,2024-11,165,186890,B2,9583,Stab
CR_004_SUNITA,2024-12,165,189285,B2,9583,Stab
CR_004_SUNITA,2025-01,155,191680,B2,9583,Rollback
CR_004_SUNITA,2025-02,160,194075,B2,9583,Stab
CR_004_SUNITA,2025-03,165,196470,B2,9583,Stab
CR_004_SUNITA,2025-04,145,198865,B2,9583,Rollback
CR_004_SUNITA,2025-05,125,201260,B2,9583,Rollback
CR_004_SUNITA,2025-06,115,203655,B1,9583,Rollback
CR_004_SUNITA,2025-07,95,206050,B1,9583,Rollback
CR_004_SUNITA,2025-08,80,208445,X3,9583,Rollback
CR_004_SUNITA,2025-09,65,210840,X3,9583,Rollback
CR_004_SUNITA,2025-10,65,213235,X3,9583,Stab
CR_004_SUNITA,2025-11,45,215630,X2,9583,Rollback
CR_004_SUNITA,2025-12,30,218025,X1,9583,Rollback
CR_004_SUNITA,2026-01,35,220420,X2,9583,Stab
CR_004_SUNITA,2026-01,25,222815,X1,9583,Rollback
CR_004_SUNITA,2026-03,15,225210,X1,9583,Rollback
CR_004_SUNITA,2026-04,15,227605,X1,9583,Stab
CR_005_VIKRAM,2023-11,0,49600,Norm,4722,Norm
CR_005_VIKRAM,2023-12,60,50780,X2,4722,Rollforward
CR_005_VIKRAM,2024-01,30,51960,X1,4722,Rollback
CR_005_VIKRAM,2024-02,0,53140,Norm,4722,Rollback
CR_005_VIKRAM,2024-03,65,54320,X3,4722,Rollforward
CR_005_VIKRAM,2024-04,35,55500,X2,4722,Rollback
CR_005_VIKRAM,2024-05,0,56680,Norm,4722,Rollback
CR_005_VIKRAM,2024-06,55,57860,X2,4722,Rollforward
CR_005_VIKRAM,2024-07,35,59040,X2,4722,Rollback
CR_005_VIKRAM,2024-08,0,60220,Norm,4722,Rollback
CR_005_VIKRAM,2024-09,60,61400,X2,4722,Rollforward
CR_005_VIKRAM,2024-10,30,62580,X1,4722,Rollback
CR_005_VIKRAM,2024-11,0,63760,Norm,4722,Rollback
CR_005_VIKRAM,2024-12,60,64940,X2,4722,Rollforward
CR_005_VIKRAM,2025-01,30,66120,X1,4722,Rollback
CR_005_VIKRAM,2025-02,0,67300,Norm,4722,Rollback
CR_005_VIKRAM,2025-03,60,68480,X2,4722,Rollforward
CR_005_VIKRAM,2025-04,30,69660,X1,4722,Rollback
CR_005_VIKRAM,2025-05,0,70840,Norm,4722,Rollback
CR_005_VIKRAM,2025-06,50,72020,X2,4722,Rollforward
CR_005_VIKRAM,2025-07,20,73200,X1,4722,Rollback
CR_005_VIKRAM,2025-08,0,74380,Norm,4722,Rollback
CR_005_VIKRAM,2025-09,65,75560,X3,4722,Rollforward
CR_005_VIKRAM,2025-10,35,76740,X2,4722,Rollback
CR_005_VIKRAM,2025-11,0,77920,Norm,4722,Rollback
CR_005_VIKRAM,2025-12,50,79100,X2,4722,Rollforward
CR_005_VIKRAM,2026-01,20,80280,X1,4722,Rollback
CR_005_VIKRAM,2026-01,0,81460,Norm,4722,Rollback
CR_005_VIKRAM,2026-03,65,82640,X3,4722,Rollforward
CR_005_VIKRAM,2026-04,35,83820,X2,4722,Rollback
CR_006_MEERA,2024-11,15,142204,X1,7291,Open
CR_006_MEERA,2024-12,20,144026,X1,7291,Stab
CR_006_MEERA,2025-01,20,145848,X1,7291,Stab
CR_006_MEERA,2025-02,20,147670,X1,7291,Stab
CR_006_MEERA,2025-03,20,149492,X1,7291,Stab
CR_006_MEERA,2025-04,15,151314,X1,7291,Stab
CR_006_MEERA,2025-05,15,153136,X1,7291,Stab
CR_006_MEERA,2025-06,10,154958,X1,7291,Stab
CR_006_MEERA,2025-07,5,156780,X1,7291,Stab
CR_006_MEERA,2025-08,5,158602,X1,7291,Stab
CR_006_MEERA,2025-09,5,160424,X1,7291,Stab
CR_006_MEERA,2025-10,0,162246,Norm,7291,Rollback
CR_006_MEERA,2025-11,0,164068,Norm,7291,Norm
CR_006_MEERA,2025-12,0,165890,Norm,7291,Norm
CR_006_MEERA,2026-01,5,167712,X1,7291,Stab
CR_006_MEERA,2026-01,5,169534,X1,7291,Stab
CR_006_MEERA,2026-03,5,171356,X1,7291,Stab
CR_006_MEERA,2026-04,0,173178,Norm,7291,Rollback
CR_007_ARJUN,2023-11,0,82500,Norm,5000,Norm
CR_007_ARJUN,2023-12,0,83750,Norm,5000,Norm
CR_007_ARJUN,2024-01,0,85000,Norm,5000,Norm
CR_007_ARJUN,2024-02,0,86250,Norm,5000,Norm
CR_007_ARJUN,2024-03,0,87500,Norm,5000,Norm
CR_007_ARJUN,2024-04,15,88750,X1,5000,Open
CR_007_ARJUN,2024-05,0,90000,Norm,5000,Rollback
CR_007_ARJUN,2024-06,30,91250,X1,5000,Rollforward
CR_007_ARJUN,2024-07,0,92500,Norm,5000,Rollback
CR_007_ARJUN,2024-08,0,93750,Norm,5000,Norm
CR_007_ARJUN,2024-09,0,95000,Norm,5000,Norm
CR_007_ARJUN,2024-10,0,96250,Norm,5000,Norm
CR_007_ARJUN,2024-11,15,97500,X1,5000,Open
CR_007_ARJUN,2024-12,0,98750,Norm,5000,Rollback
CR_007_ARJUN,2025-01,45,100000,X2,5000,Rollforward
CR_007_ARJUN,2025-02,15,101250,X1,5000,Rollback
CR_007_ARJUN,2025-03,0,102500,Norm,5000,Rollback
CR_007_ARJUN,2025-04,0,103750,Norm,5000,Norm
CR_007_ARJUN,2025-05,0,105000,Norm,5000,Norm
CR_007_ARJUN,2025-06,0,106250,Norm,5000,Norm
CR_007_ARJUN,2025-07,0,107500,Norm,5000,Norm
CR_007_ARJUN,2025-08,15,108750,X1,5000,Open
CR_007_ARJUN,2025-09,0,110000,Norm,5000,Rollback
CR_007_ARJUN,2025-10,0,111250,Norm,5000,Norm
CR_007_ARJUN,2025-11,0,112500,Norm,5000,Norm
CR_007_ARJUN,2025-12,0,113750,Norm,5000,Norm
CR_007_ARJUN,2026-01,0,115000,Norm,5000,Norm
CR_007_ARJUN,2026-01,0,116250,Norm,5000,Norm
CR_007_ARJUN,2026-03,0,117500,Norm,5000,Norm
CR_007_ARJUN,2026-04,0,118750,Norm,5000,Norm
CR_008_KAVITA,2024-05,5,232504,X1,12916,Stab
CR_008_KAVITA,2024-06,0,235733,Norm,12916,Rollback
CR_008_KAVITA,2024-07,0,238962,Norm,12916,Norm
CR_008_KAVITA,2024-08,0,242191,Norm,12916,Norm
CR_008_KAVITA,2024-09,0,245420,Norm,12916,Norm
CR_008_KAVITA,2024-10,0,248649,Norm,12916,Norm
CR_008_KAVITA,2024-11,5,251878,X1,12916,Stab
CR_008_KAVITA,2024-12,5,255107,X1,12916,Stab
CR_008_KAVITA,2025-01,0,258336,Norm,12916,Rollback
CR_008_KAVITA,2025-02,0,261565,Norm,12916,Norm
CR_008_KAVITA,2025-03,5,264794,X1,12916,Stab
CR_008_KAVITA,2025-04,0,268023,Norm,12916,Rollback
CR_008_KAVITA,2025-05,5,271252,X1,12916,Stab
CR_008_KAVITA,2025-06,0,274481,Norm,12916,Rollback
CR_008_KAVITA,2025-07,0,277710,Norm,12916,Norm
CR_008_KAVITA,2025-08,5,280939,X1,12916,Stab
CR_008_KAVITA,2025-09,0,284168,Norm,12916,Rollback
CR_008_KAVITA,2025-10,0,287397,Norm,12916,Norm
CR_008_KAVITA,2025-11,0,290626,Norm,12916,Norm
CR_008_KAVITA,2025-12,5,293855,X1,12916,Stab
CR_008_KAVITA,2026-01,5,297084,X1,12916,Stab
CR_008_KAVITA,2026-01,0,300313,Norm,12916,Rollback
CR_008_KAVITA,2026-03,0,303542,Norm,12916,Norm
CR_008_KAVITA,2026-04,0,306771,Norm,12916,Norm
CR_009_SANJAY,2025-05,0,160420,Norm,4861,Norm
CR_009_SANJAY,2025-06,0,161635,Norm,4861,Norm
